Team,Wins,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,56,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,53,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,52,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,49,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,48,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,46,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,45,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,44,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,44,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,44,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,44,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,43,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,43,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,35,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,35,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,34,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,34,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,33,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,32,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,31,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,30,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,25,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,23,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,22,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,21,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,20,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,20,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,19,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,19,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
